Latitude,Longitude,label
-9.36295,-40.50797,school
-5.253029,-45.201096,school
-25.463295,-49.28329,school
-8.777899,-37.893665,school
-15.699417,-44.00647,school
-22.072626,-41.496624,school
-23.657785,-46.759884,school
-22.434805,-50.583076,school
-17.227556,-46.886578,school
-5.1565623,-38.1038132,non_school
-17.51566,-49.440727,school
-17.8152484,-63.130762,non_school
-19.9752086,-43.9429111,non_school
-12.0795589,-45.8021953,non_school
-25.678415,-49.53735,school
-29.18326,-53.71299,school
-21.903013,-49.357777,school
-2.6146748,-44.260532,school
-2.2540667,-45.208363,school
-22.8621018,-43.008743,non_school
-11.229246,-41.87415,school
-8.105246,-42.9457241,non_school
-23.0506909,-47.8369584,non_school
-17.60092,-51.70731,school
-21.116951,-47.995193,school
-4.8482657,-42.1926872,non_school
-1.8648992,-48.038162,school
-0.5855425,-50.55117,school
-24.738756,-48.10632,school
-22.8382251,-47.1618641,non_school
-23.2288113,-45.8840055,non_school
-15.8058165,-47.9580329,non_school
-23.9960129,-51.8178016,non_school
-25.2082569,-59.85862,non_school
-3.059134,-59.845478,school
-0.8552365,-48.142693,school
-1.0250598,-46.637672,school
-8.979285,-39.100597,school
-17.8045524,-63.1533958,non_school
-22.7727366,-42.9328873,non_school
-1.9103566,-56.26376,school
-10.735053,-43.994164,school
-21.78818,-46.544502,school
-22.819153,-50.072998,school
-22.81311,-43.59284,school
-22.196054,-47.36735,school
-31.32174,-54.10596,school
-8.0436089,-34.8933296,non_school
-5.737433,-39.62509,school
-21.722126,-48.584923,school
-4.589142,-59.493908,school
-29.991764,-51.224705,school
-5.0625623,-42.7942252,non_school
-5.529898,-47.463886,school
-20.162344,-44.913647,school
-20.9518984,-43.8053903,non_school
-5.0617968,-42.7962033,non_school
-20.356995,-40.349094,school
-23.56914,-46.805763,school
-21.767084,-42.181488,school
-21.245983,-45.00019,school
-7.1519418,-34.8727969,non_school
-12.255051,-38.9596231,non_school
-22.96372,-44.04143,school
-10.411816,-65.33391,school
-16.211098,-47.928936,school
-1.4067625,-51.647198,school
-21.2653281,-44.9895286,non_school
-8.1287966,-34.949442,non_school
-3.180679,-46.240894,school
-6.89963,-42.6307,school
